repo-or-fork,forkedfrom,branch,repo,dossier_cible,toclone
lmag,https://github.com/Evarisk/Digirisk,"",https://github.com/lmag/digirisk,digiriskdolibarr,1
lmag,https://github.com/Evarisk/Saturne,"",https://github.com/lmag/saturne,saturne,1
lmag,https://github.com/Evarisk/dolicar,"",https://github.com/lmag/dolicar,dolicar,1
lmag,https://github.com/Evarisk/dolimeet,"",https://github.com/lmag/dolimeet,dolimeet,1
lmag,https://github.com/Evarisk/digiboard,"",https://github.com/lmag/digiboard,digiboard,1
lmag,https://github.com/Evarisk/DoliSecu,"",https://github.com/lmag/dolisecu,dolisecu,1
lmag,https://github.com/Evarisk/digiquali,develop,https://github.com/lmag/digiquali,digiquali,1
lmag,https://github.com/Eoxia/WPshop,"",https://github.com/lmag/wpshop,WPshop,1
lmag,https://github.com/Eoxia/reedcrm,"",https://github.com/lmag/reedcrm,reedcrm,1
lmag,https://github.com/Eoxia/priseo,"",https://github.com/lmag/priseo,priseo,1
eoxia,https://github.com/Eoxia/EasyURL,"",https://github.com/lmag/easyurl,EasyURL,1
